08-10-24 00:00:00,15,80
08-10-24 00:01:00,20,75
08-10-24 00:02:00,10,70
08-10-24 00:03:00,25,65
08-10-24 00:04:00,5,60
08-10-24 00:05:00,15,58
08-10-24 00:06:00,20,55
08-10-24 00:07:00,12,53
08-10-24 00:08:00,25,50
08-10-24 00:09:00,8,45
08-10-24 00:10:00,18,42
08-10-24 00:11:00,22,39
08-10-24 00:12:00,11,36
08-10-24 00:13:00,25,34
08-10-24 00:14:00,7,30
08-10-24 00:15:00,14,28
08-10-24 00:16:00,19,25
08-10-24 00:17:00,23,22
08-10-24 00:18:00,9,20
08-10-24 00:19:00,21,18
08-10-24 00:20:00,4,15
08-10-24 00:21:00,15,12
08-10-24 00:22:00,20,10
08-10-24 00:23:00,10,8
08-10-24 00:24:00,25,5
08-10-24 00:25:00,0,3
08-10-24 00:26:00,15,1
08-10-24 00:27:00,23,0
08-10-24 00:28:00,18,5
08-10-24 00:29:00,21,10
08-10-24 00:30:00,5,12
08-10-24 00:31:00,20,15
08-10-24 00:32:00,25,18
08-10-24 00:33:00,7,20
08-10-24 00:34:00,11,25
08-10-24 00:35:00,16,30
08-10-24 00:36:00,23,32
08-10-24 00:37:00,19,35
08-10-24 00:38:00,10,38
08-10-24 00:39:00,15,40
08-10-24 00:40:00,20,43
08-10-24 00:41:00,5,46
08-10-24 00:42:00,14,48
08-10-24 00:43:00,25,50
08-10-24 00:44:00,8,52
08-10-24 00:45:00,20,55
08-10-24 00:46:00,12,57
08-10-24 00:47:00,18,60
08-10-24 00:48:00,22,62
08-10-24 00:49:00,9,65
08-10-24 00:50:00,21,67
08-10-24 00:51:00,3,70
08-10-24 00:52:00,15,73
08-10-24 00:53:00,25,75
08-10-24 00:54:00,10,78
08-10-24 00:55:00,20,80
08-10-24 00:56:00,5,82
08-10-24 00:57:00,17,85
08-10-24 00:58:00,24,87
08-10-24 00:59:00,15,90
08-10-24 01:00:00,20,92
08-10-24 01:00:00,15,80
08-10-24 01:01:00,20,78
08-10-24 01:02:00,10,75
08-10-24 01:03:00,25,73
08-10-24 01:04:00,5,70
08-10-24 01:05:00,18,68
08-10-24 01:06:00,12,65
08-10-24 01:07:00,22,63
08-10-24 01:08:00,9,60
08-10-24 01:09:00,15,58
08-10-24 01:10:00,20,56
08-10-24 01:11:00,11,54
08-10-24 01:12:00,25,52
08-10-24 01:13:00,8,50
08-10-24 01:14:00,16,48
08-10-24 01:15:00,19,45
08-10-24 01:16:00,7,43
08-10-24 01:17:00,14,40
08-10-24 01:18:00,20,38
08-10-24 01:19:00,5,35
08-10-24 01:20:00,18,33
08-10-24 01:21:00,23,30
08-10-24 01:22:00,10,28
08-10-24 01:23:00,25,25
08-10-24 01:24:00,4,22
08-10-24 01:25:00,15,20
08-10-24 01:26:00,19,18
08-10-24 01:27:00,12,15
08-10-24 01:28:00,21,13
08-10-24 01:29:00,8,10
08-10-24 01:30:00,25,8
08-10-24 01:31:00,6,5
08-10-24 01:32:00,17,3
08-10-24 01:33:00,22,1
08-10-24 01:34:00,9,0
08-10-24 01:35:00,15,5
08-10-24 01:36:00,20,10
08-10-24 01:37:00,10,15
08-10-24 01:38:00,25,20
08-10-24 01:39:00,4,25
